Country,Year,LifeExpectancy,GDPPerCapita,Population,Region
Afghanistan,2022,65.617,1357.9878,40578847,Asia
Albania,2022,78.7688,12978.101,2827614,Europe
Algeria,2022,76.1289,13506.444,45477391,Africa
Angola,2022,64.2455,6118.905,35635028,Africa
Argentina,2022,75.8061,18292.318,45407904,South America
Armenia,2022,74.6333,13837.577,2880880,Asia
Australia,2022,82.7662,52049.43,26200987,Oceania
Austria,2022,81.2959,43792.855,9064678,Europe
Azerbaijan,2022,74.125,17682.94,10295307,Asia
Bahrain,2022,80.9921,38651.6,1533460,Asia
Bangladesh,2022,74.2647,4925.721,169384891,Asia
Barbados,2022,75.6761,11545.848,282324,North America
Belarus,2022,74.3612,18699.799,9173240,Europe
Belgium,2022,81.1589,41872.395,11641814,Europe
Benin,2022,60.4751,2477.0903,13759507,Africa
Bolivia,2022,67.4342,6481.3906,12077156,South America
Bosnia and Herzegovina,2022,76.7772,12142.863,3204802,Europe
Botswana,2022,68.7487,16351.91,2439895,Africa
Brazil,2022,74.8719,14640.076,210306411,South America
Bulgaria,2022,74.0342,20592.455,6825862,Europe
Burkina Faso,2022,60.7,1704.966,22509038,Africa
Burundi,2022,62.8819,717.22845,13321102,Africa
Cambodia,2022,70.528,3944.2468,17201721,Asia
Cameroon,2022,62.4428,2812.2148,27632770,Africa
Canada,2022,81.2493,45529.645,38821259,North America
Cape Verde,2022,75.9068,7202.767,519750,Africa
Central African Republic,2022,18.8177,596.393,5098038,Africa
Chad,2022,54.5275,1393.5635,18455319,Africa
Chile,2022,79.1762,22740.72,19553033,South America
China,2022,78.2021,19238.18,1425179562,Asia
Colombia,2022,76.5081,14468.964,51737944,South America
Comoros,2022,66.4806,1900.3983,834191,Africa
Congo,2022,65.0003,4187.507,6035104,Africa
Costa Rica,2022,79.3164,15496.82,5081764,North America
Cote d'Ivoire,2022,61.5622,4011.7122,30395004,Africa
Croatia,2022,78.2779,26986.752,3907031,Europe
Cuba,2022,77.6291,7648.704,11059822,North America
Cyprus,2022,80.4337,31523.498,1331376,Europe
Czechia,2022,79.1648,32247.395,10673216,Europe
Democratic Republic of Congo,2022,60.9789,844.172,102396974,Africa
Denmark,2022,81.2906,50689.68,5902901,Europe
Djibouti,2022,65.5402,3623.0603,1137101,Africa
Dominica,2022,71.0806,8879.6455,66847,North America
Dominican Republic,2022,74.2108,17713.52,11230734,North America
Ecuador,2022,76.5767,10124.076,17823900,South America
Egypt,2022,71.0097,13205.406,112618252,Africa
El Salvador,2022,71.9695,9218.905,6280316,North America
Equatorial Guinea,2022,63.3545,22707.22,1803549,Africa
Estonia,2022,78.1674,30067.395,1350093,Europe
Eswatini,2022,63.0283,8522.45,1218921,Africa
Ethiopia,2022,66.8971,2289.409,125384285,Africa
Finland,2022,81.2435,40701.465,5569300,Europe
France,2022,82.4753,39065.71,66277412,Europe
Gabon,2022,67.713,15720.901,2430750,Africa
Gambia,2022,64.859,2010.5322,2636472,Africa
Georgia,2022,74.1409,14360.359,3794782,Asia
Germany,2022,80.5796,46647.793,84086227,Europe
Ghana,2022,65.246,4242.4106,33149152,Africa
Greece,2022,79.9441,25283.906,10412481,Europe
Guatemala,2022,71.2064,7969.431,17847877,North America
Guinea,2022,60.4316,1809.2666,14055136,Africa
Guinea-Bissau,2022,63.6045,1625.3876,2105535,Africa
